update,transitions,high_reward_mean,high_reward_sum,duration_mean,detected_targets_mean,visited_targets_mean,retired_agents_mean,success_rate,entropy_reduction_mean,actor_explore_actions,actor_target_actions,actor_invalid_actions,actor_nonfinite_logits,actor_valid_target_actions,policy_loss,value_loss,entropy,approx_kl,clip_fraction
81,1017,1.8680362701416016,1899.7928466796875,12.366765022277832,1.96875,1.796875,1.796875,0.0625,2385.0439453125,898,119,0,0,119,-0.0005177278071641922,38.15376281738281,1.408278226852417,5.236206197878346e-05,0.0
82,1070,1.586978554725647,1698.0670166015625,11.939251899719238,1.9375,1.65625,1.65625,0.015625,2503.49658203125,957,113,0,0,113,0.01826169528067112,30.24350929260254,1.4363235235214233,0.00047288520727306604,0.0030924479942768812
83,1055,1.7447506189346313,1840.7119140625,12.323223114013672,1.953125,1.703125,1.703125,0.09375,2484.995849609375,942,113,0,0,113,0.04982764646410942,37.16282272338867,1.4585179090499878,0.00021698432101402432,0.0
84,1023,1.907080054283142,1950.94287109375,12.251221656799316,2.140625,1.8125,1.8125,0.09375,2444.9453125,902,121,0,0,121,-0.000363038619980216,40.69778823852539,1.4199894666671753,7.281373837031424e-05,0.0
85,1050,1.6758488416671753,1759.641357421875,12.325714111328125,1.859375,1.6875,1.6875,0.0625,2481.3203125,936,114,0,0,114,0.028270816430449486,32.917945861816406,1.4424930810928345,0.00013322668382897973,0.0
86,1009,1.9793603420257568,1997.174560546875,12.289395332336426,2.09375,1.84375,1.84375,0.109375,2404.9248046875,889,120,0,0,120,-0.00027013407088816166,42.46514892578125,1.4203026294708252,5.607262210105546e-05,0.0
87,968,2.0535812377929688,1987.8668212890625,12.370867729187012,2.140625,1.84375,1.84375,0.078125,2336.810791015625,847,121,0,0,121,0.0018127955263480544,39.41709899902344,1.4110403060913086,2.172999120375607e-05,0.0
88,1056,1.6307024955749512,1722.021728515625,12.28787899017334,1.90625,1.65625,1.65625,0.046875,2501.130615234375,945,111,0,0,111,-0.009330803528428078,31.351945877075195,1.4731694459915161,0.00016994182078633457,0.00016276042151730508
89,1035,1.747363805770874,1808.5216064453125,12.202898979187012,2.0,1.71875,1.71875,0.078125,2423.00244140625,920,115,0,0,115,0.07485345005989075,32.8397102355957,1.4007066488265991,0.0002720217453315854,0.00032552084303461015
90,1027,1.8562530279159546,1906.371826171875,12.147029876708984,1.953125,1.78125,1.78125,0.09375,2415.197998046875,912,115,0,0,115,-0.10078677535057068,35.1851921081543,1.3139047622680664,8.721687481738627e-05,0.0
91,1020,1.8382619619369507,1875.027099609375,12.432353019714355,1.953125,1.78125,1.78125,0.0625,2449.33203125,906,114,0,0,114,-0.0007372740656137466,37.129859924316406,1.4267586469650269,2.901016705436632e-05,0.0
92,1056,1.859418511390686,1963.5458984375,12.045454978942871,2.03125,1.8125,1.8125,0.125,2476.34765625,934,122,0,0,122,-0.012822178192436695,41.40269088745117,1.4385112524032593,0.00020477948419284075,0.00016276042151730508
93,1020,1.9236596822738647,1962.1328125,12.366666793823242,1.953125,1.84375,1.84375,0.078125,2506.9248046875,902,118,0,0,118,-0.002013474702835083,39.9047737121582,1.42072331905365,0.00029104528948664665,0.0004902036162093282
94,999,2.0189993381500244,2016.98046875,12.40640640258789,2.0625,1.84375,1.84375,0.109375,2394.81640625,880,119,0,0,119,-0.0009955614805221558,43.31517028808594,1.410579800605774,0.0006100317696109414,0.003518231911584735
95,1055,1.921390414237976,2027.06689453125,11.72132682800293,2.03125,1.859375,1.859375,0.125,2399.314697265625,932,123,0,0,123,0.013074864633381367,42.222591400146484,1.4013009071350098,0.0005765227251686156,0.004641296807676554
96,1003,1.7053266763687134,1710.442626953125,12.4317045211792,1.875,1.65625,1.65625,0.046875,2418.8876953125,895,108,0,0,108,0.0002534387167543173,33.91666793823242,1.4090511798858643,7.16750364517793e-05,0.0
97,1088,1.732597827911377,1885.06640625,11.873161315917969,2.046875,1.75,1.75,0.109375,2503.455810546875,971,117,0,0,117,0.006543653551489115,41.8343620300293,1.4156814813613892,0.00020985111768823117,0.00016276042151730508
98,1049,1.7748092412948608,1861.77490234375,12.113441467285156,1.953125,1.765625,1.765625,0.078125,2436.189453125,933,116,0,0,116,-0.05058344081044197,40.766292572021484,1.3913092613220215,0.00019109547429252416,0.00048828125
99,1056,1.675770878791809,1769.614013671875,12.140151977539062,1.96875,1.671875,1.671875,0.046875,2479.892578125,941,115,0,0,115,-0.052209511399269104,41.9256591796875,1.406429409980774,0.0003418406704440713,0.0026041667442768812
100,993,1.913169503211975,1899.77734375,12.415911674499512,2.03125,1.765625,1.765625,0.09375,2384.235107421875,873,120,0,0,120,-0.0005565197207033634,38.52639389038086,1.3831768035888672,0.00018706571427173913,0.0005197505233809352
101,996,2.0694589614868164,2061.18115234375,12.055220603942871,2.125,1.890625,1.890625,0.109375,2353.1796875,873,123,0,0,123,-6.282620597630739e-05,40.645904541015625,1.3846076726913452,0.00012713187607005239,0.00025826445198617876
102,1085,1.6669062376022339,1808.59326171875,12.002764701843262,1.9375,1.71875,1.71875,0.078125,2530.90283203125,969,116,0,0,116,-0.010668697766959667,37.376670837402344,1.4079461097717285,0.00015195341256912798,0.00048828125
103,1003,1.850534439086914,1856.0860595703125,12.148554801940918,1.921875,1.75,1.75,0.109375,2348.23095703125,889,114,0,0,114,-0.00172749615740031,37.601776123046875,1.3835688829421997,0.00045322562800720334,0.0035015037283301353
104,1016,1.8635914325714111,1893.408935546875,11.95964527130127,1.953125,1.78125,1.78125,0.09375,2365.05126953125,897,119,0,0,119,-0.0013473483268171549,38.966678619384766,1.3715145587921143,0.0005362990777939558,0.0029606895986944437
105,985,2.0253188610076904,1994.9390869140625,12.057868003845215,2.171875,1.859375,1.859375,0.078125,2340.5791015625,861,124,0,0,124,-0.0018112589605152607,40.32158660888672,1.356062650680542,0.00021944839681964368,0.0012609630357474089
106,1020,2.2266781330108643,2271.211669921875,11.51568603515625,2.1875,2.0,2.0,0.21875,2354.77001953125,889,131,0,0,131,-0.001130768097937107,46.06243133544922,1.3575282096862793,0.0003141548077110201,0.002210722304880619
107,1062,1.6853437423706055,1789.8350830078125,12.010357856750488,1.984375,1.6875,1.6875,0.09375,2439.32861328125,948,114,0,0,114,0.009473376907408237,37.01350402832031,1.3907636404037476,0.0006461154553107917,0.003495065728202462
108,1068,1.6188957691192627,1728.980712890625,11.911048889160156,1.890625,1.65625,1.65625,0.078125,2446.914794921875,955,113,0,0,113,-0.03468694910407066,34.03097152709961,1.3920289278030396,5.185184636502527e-05,0.0
109,1043,1.8741447925567627,1954.7330322265625,11.927133560180664,2.109375,1.796875,1.796875,0.125,2434.014404296875,922,121,0,0,121,-0.0033288125414401293,39.10642623901367,1.3927937746047974,0.00010027149255620316,0.0
110,1020,1.7917323112487793,1827.56689453125,12.06862735748291,2.015625,1.75,1.75,0.046875,2321.18798828125,905,115,0,0,115,-0.0011616197880357504,34.71141815185547,1.391632318496704,0.00026769129908643663,0.0009823295986279845
111,1049,1.773224949836731,1860.1129150390625,11.829360961914062,2.0,1.75,1.75,0.09375,2453.79443359375,932,117,0,0,117,0.015689797699451447,33.60941696166992,1.4322363138198853,0.0022736622486263514,0.020097656175494194
